,Age,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived,Title
240,21,1,14,0,3,1,1,0,2
241,21,2,15,0,3,1,1,1,2
246,25,0,7,0,3,1,0,0,2
257,30,0,86,0,1,1,0,1,2
258,35,1,512,0,1,1,0,1,2
264,21,2,7,0,3,1,0,0,2
269,35,0,135,0,1,1,0,1,2
274,21,2,7,0,3,1,0,1,2
275,63,0,77,0,1,1,1,1,2
276,45,0,7,0,3,1,0,0,2
289,22,2,7,0,3,1,0,1,2
290,26,0,78,0,1,1,0,1,2
293,24,0,8,0,3,1,0,0,2
297,2,0,151,2,1,1,1,0,2
300,21,2,7,0,3,1,0,1,2
303,21,2,12,0,2,1,0,1,2
306,21,1,110,0,1,1,0,1,2
309,30,1,56,0,1,1,0,1,2
310,24,1,83,0,1,1,0,1,2
311,18,1,262,2,1,1,2,1,2
315,26,0,7,0,3,1,0,1,2
318,31,0,164,2,1,1,0,1,2
322,30,2,12,0,2,1,0,1,2
325,36,1,135,0,1,1,0,1,2
329,16,1,57,1,1,1,0,1,2
330,21,2,23,0,3,1,2,1,2
337,41,1,134,0,1,1,0,1,2
341,24,0,263,2,1,1,3,1,2
345,24,0,13,0,2,1,0,1,2
346,40,0,13,0,2,1,0,1,2
356,22,0,55,1,1,1,0,1,2
357,38,0,13,0,2,1,0,0,2
358,21,2,7,0,3,1,0,1,2
359,21,2,7,0,3,1,0,1,2
368,21,2,7,0,3,1,0,1,2
374,3,0,21,1,3,1,3,0,2
376,22,0,7,0,3,1,0,1,2
380,42,1,227,0,1,1,0,1,2
381,1,1,15,2,3,1,0,1,2
387,36,0,13,0,2,1,0,1,2
389,17,1,12,0,2,1,0,1,2
393,23,1,113,0,1,1,1,1,2
396,31,0,7,0,3,1,0,0,2
402,21,0,9,0,3,1,1,0,2
404,20,0,8,0,3,1,0,0,2
409,21,0,25,1,3,1,3,0,2
412,33,2,90,0,1,1,1,1,2
417,18,0,13,2,2,1,0,1,2
419,10,0,24,2,3,1,0,0,2
427,19,0,26,0,2,1,0,1,2
435,14,0,120,2,1,1,1,1,2
436,21,0,34,2,3,1,2,0,2
443,28,0,13,0,2,1,0,1,2
446,13,0,19,1,2,1,0,1,2
448,5,1,19,1,3,1,2,1,2
458,50,0,10,0,2,1,0,1,2
469,0,1,19,1,3,1,2,1,2
474,22,0,9,0,3,1,0,0,2
479,2,0,12,1,3,1,0,1,2
485,21,0,25,1,3,1,3,0,2
496,54,1,78,0,1,1,1,1,2
501,21,2,7,0,3,1,0,0,2
502,21,2,7,0,3,1,0,0,2
503,37,0,9,0,3,1,0,0,2
504,16,0,86,0,1,1,0,1,2
520,30,0,93,0,1,1,0,1,2
526,50,0,10,0,2,1,0,1,2
530,2,0,26,1,2,1,1,1,2
534,30,0,8,0,3,1,0,0,2
535,7,0,26,2,2,1,0,1,2
537,30,1,106,0,1,1,0,1,2
539,22,1,49,2,1,1,0,1,2
540,36,0,71,2,1,1,0,1,2
541,9,0,31,2,3,1,4,0,2
542,11,0,31,2,3,1,4,0,2
554,22,0,7,0,3,1,0,1,2
564,21,0,8,0,3,1,0,0,2
573,21,2,7,0,3,1,0,1,2
576,34,0,13,0,2,1,0,1,2
580,25,0,30,1,2,1,1,1,2
585,18,0,79,2,1,1,0,1,2
593,21,2,7,2,3,1,0,0,2
596,21,0,33,0,2,1,0,1,2
609,40,0,153,0,1,1,0,1,2
612,21,2,15,0,3,1,1,1,2
615,24,0,65,2,2,1,1,1,2
618,4,0,39,1,2,1,2,1,2
627,21,0,77,0,1,1,0,1,2
634,9,0,27,2,3,1,3,0,2
635,28,0,13,0,2,1,0,1,2
641,24,1,69,0,1,1,0,1,2
642,2,0,27,2,3,1,3,0,2
644,0,1,19,1,3,1,2,1,2
649,23,0,7,0,3,1,0,1,2
651,18,0,23,1,2,1,0,1,2
653,21,2,7,0,3,1,0,1,2
654,18,2,6,0,3,1,0,0,2
677,18,0,9,0,3,1,0,1,2
680,21,2,8,0,3,1,0,0,2
689,15,0,211,1,1,1,0,1,2
691,4,1,13,1,3,1,0,1,2
697,21,2,7,0,3,1,0,1,2
702,18,1,14,1,3,1,0,0,2
708,22,0,151,0,1,1,0,1,2
710,24,1,49,0,1,1,0,1,2
716,38,1,227,0,1,1,0,1,2
717,27,0,10,0,2,1,0,1,2
720,6,0,33,1,2,1,0,1,2
727,21,2,7,0,3,1,0,1,2
729,25,0,7,0,3,1,1,0,2
730,29,0,211,0,1,1,0,1,2
742,21,1,262,2,1,1,2,1,2
747,30,0,13,0,2,1,0,1,2
750,4,0,23,1,2,1,1,1,2
767,30,2,7,0,3,1,0,0,2
777,5,0,12,0,3,1,0,1,2
780,13,1,7,0,3,1,0,1,2
786,18,0,7,0,3,1,0,1,2
792,21,0,69,2,3,1,8,0,2
807,18,0,7,0,3,1,0,0,2
813,6,0,31,2,3,1,4,0,2
816,23,0,7,0,3,1,0,0,2
835,39,1,83,1,1,1,1,1,2
842,30,1,31,0,1,1,0,1,2
852,9,1,15,1,3,1,1,0,2
853,16,0,39,1,1,1,0,1,2
863,21,0,69,2,3,1,8,0,2
866,27,1,13,0,2,1,1,1,2
875,15,1,7,0,3,1,0,1,2
882,22,0,10,0,3,1,0,0,2
887,19,0,30,0,1,1,0,1,2
888,21,0,23,2,3,1,1,0,2
7,2,0,21,1,3,0,3,0,4
16,2,2,29,1,3,0,4,0,4
50,7,0,39,1,3,0,4,0,4
59,11,0,46,2,3,0,5,0,4
63,4,0,27,2,3,0,3,0,4
65,4,1,15,1,3,0,1,1,4
78,0,0,29,2,2,0,0,1,4
125,12,1,11,0,3,0,1,1,4
159,4,0,69,2,3,0,8,0,4
164,1,0,39,1,3,0,4,0,4
165,9,0,20,2,3,0,0,1,4
171,4,2,29,1,3,0,4,0,4
176,4,0,25,1,3,0,3,0,4
182,9,0,31,2,3,0,4,0,4
183,1,0,39,1,2,0,2,1,4
193,3,0,26,1,2,0,1,1,4
261,3,0,31,2,3,0,4,1,4
278,7,2,29,1,3,0,4,0,4
305,0,0,151,2,1,0,1,1,4
340,2,0,26,1,2,0,1,1,4
348,3,0,15,1,3,0,1,1,4
386,1,0,46,2,3,0,5,0,4
407,3,0,18,1,2,0,1,1,4
445,4,0,81,2,1,0,0,1,4
480,9,0,46,2,3,0,5,0,4
489,9,0,15,1,3,0,1,1,4
549,8,0,36,1,2,0,1,1,4
709,4,1,15,1,3,0,1,1,4
751,6,0,12,1,3,0,0,1,4
755,0,0,14,1,2,0,1,1,4
787,8,2,29,1,3,0,4,0,4
788,1,0,20,2,3,0,1,1,4
802,11,0,120,2,1,0,1,1,4
803,0,1,8,1,3,0,0,1,4
819,10,0,27,2,3,0,3,0,4
824,2,0,39,1,3,0,4,0,4
827,1,1,37,2,2,0,0,1,4
831,0,0,18,1,2,0,1,1,4
850,4,0,31,2,3,0,4,0,4
869,4,0,11,1,3,0,1,1,4
30,40,1,27,0,1,0,0,0,5
149,42,0,13,0,2,0,0,0,5
150,51,0,12,0,2,0,0,0,5
245,44,2,90,0,1,0,2,0,5
249,54,0,26,0,2,0,1,0,5
317,54,0,14,0,2,0,0,0,5
398,23,0,10,0,2,0,0,0,5
449,52,0,30,0,1,0,0,1,5
536,45,0,26,0,1,0,0,0,5
556,48,1,39,0,1,1,1,1,5
599,49,1,56,0,1,0,1,1,5
626,57,2,12,0,2,0,0,0,5
632,32,1,30,0,1,0,0,1,5
647,56,1,35,0,1,0,0,1,5
660,50,0,133,0,1,0,2,1,5
694,60,0,26,0,1,0,0,0,5
745,70,0,71,1,1,0,1,0,5
759,33,0,86,0,1,1,0,1,5
766,45,1,39,0,1,0,0,0,5
796,49,0,25,0,1,1,0,1,5
822,38,0,0,0,1,0,0,0,5
848,28,0,33,1,2,0,0,0,5
886,27,0,13,0,2,0,0,0,5
